ID,loc,title,bedroom,bathroom,parking_space,zone,rooms,bathroom_ratio,price
9537,0.0288011815869369,3.0,1.0,5.0,,2,6.0,0.8333333333333334,1432455.901
9422,0.0288011815869369,4.0,6.0,6.0,2.0,2,12.0,0.5,2324695.771
5406,0.026995979322228605,10.0,2.0,2.0,3.0,4,4.0,0.5,3515817.726
4112,0.028144744399770247,2.0,9.0,3.0,1.0,1,12.0,0.25,2429164.06
2734,0.028390908344957742,1.0,5.0,1.0,,3,6.0,0.16666666666666666,1088526.945
16,0.02830885369656191,10.0,9.0,5.0,,5,14.0,0.35714285714285715,6502621.156
1133,0.025601050299499467,,7.0,3.0,5.0,3,10.0,0.3,2252392.13
4310,0.028062689751374416,2.0,1.0,7.0,2.0,1,8.0,0.875,936000.915
9750,0.02633954213506195,6.0,,6.0,5.0,0,,,1792955.909
985,0.0303602199064577,7.0,4.0,1.0,3.0,2,5.0,0.2,1323498.728
248,0.026585706080249447,8.0,4.0,4.0,2.0,3,8.0,0.5,2706841.523
4926,0.0303602199064577,7.0,3.0,5.0,3.0,2,8.0,0.625,1373069.509
888,0.028555017641749406,,4.0,1.0,1.0,3,5.0,0.2,1843181.747
1438,0.027898580454582753,9.0,4.0,1.0,4.0,4,5.0,0.2,2030750.373
318,0.025847214244686962,,4.0,2.0,1.0,1,6.0,0.3333333333333333,1727267.466
8384,0.0288011815869369,5.0,7.0,,5.0,1,,,2412349.813
1201,0.028062689751374416,6.0,,2.0,2.0,1,,,884321.4802
7868,,2.0,3.0,4.0,3.0,-1,7.0,0.5714285714285714,1204824.895
7526,0.0288011815869369,10.0,,5.0,3.0,2,,,4272107.272
2546,0.028062689751374416,8.0,2.0,,4.0,1,,,1554646.535
1710,0.026667760728645278,4.0,4.0,1.0,,4,5.0,0.2,2036335.027
5762,0.02830885369656191,6.0,3.0,,5.0,2,,,1455029.894
2312,0.02633954213506195,3.0,,4.0,1.0,0,,,1771646.676
9205,0.029129400180520227,5.0,5.0,1.0,2.0,0,6.0,0.16666666666666666,2036917.391
686,0.026585706080249447,3.0,2.0,6.0,5.0,3,8.0,0.75,1889643.599
6001,0.027652416509395258,,3.0,5.0,3.0,2,8.0,0.625,1355465.088
7785,0.02822679904816608,10.0,3.0,,5.0,5,,,3342866.36
4803,0.02773447115779109,10.0,3.0,7.0,1.0,5,10.0,0.7,3312874.549
2476,0.027980635102978584,3.0,1.0,1.0,4.0,5,2.0,0.5,1470004.449
4392,0.02633954213506195,3.0,5.0,1.0,4.0,0,6.0,0.16666666666666666,1944098.841
10661,0.02830885369656191,,3.0,7.0,1.0,5,10.0,0.7,2416240.636
9003,0.026913924673832773,6.0,,7.0,5.0,5,,,3189183.516
8106,0.026503651431853615,6.0,1.0,,6.0,4,,,1860157.005
499,0.026585706080249447,,3.0,5.0,6.0,3,8.0,0.625,1732817.569
6995,0.026503651431853615,8.0,5.0,5.0,,4,10.0,0.5,3944554.799
11367,0.0303602199064577,2.0,,6.0,4.0,2,,,1425214.981
1331,,1.0,5.0,2.0,2.0,-1,7.0,0.2857142857142857,1239172.872
11521,0.028555017641749406,10.0,,4.0,2.0,3,,,4823840.858
1751,0.027980635102978584,6.0,2.0,2.0,,1,4.0,0.5,1168492.765
1865,0.02830885369656191,3.0,2.0,1.0,4.0,5,3.0,0.3333333333333333,1991650.417
438,,9.0,2.0,2.0,2.0,-1,4.0,0.5,1075697.938
5365,,6.0,4.0,5.0,5.0,-1,9.0,0.5555555555555556,1934554.639
4586,0.028390908344957742,5.0,3.0,1.0,2.0,3,4.0,0.25,1426126.322
2175,0.0288011815869369,7.0,4.0,1.0,3.0,1,5.0,0.2,1247248.047
10922,0.028390908344957742,,8.0,7.0,5.0,3,15.0,0.4666666666666667,2411934.911
